longitude,latitude,housing_median_age,median_income,median_house_value,ocean_proximity_NEAR BAY,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_NEAR OCEAN,ocean_proximity_ISLAND,rooms_per_household,log_population_per_household,bedrooms_per_room
-122.23,37.88,41.0,8.3252,452600.0,1,0,0,0,0,6.984127,0.938270,0.146591
-122.22,37.86,21.0,8.3014,358500.0,1,0,0,0,0,6.238137,0.746613,0.155797
-122.24,37.85,52.0,7.2574,352100.0,1,0,0,0,0,8.288136,1.030426,0.129516
-122.25,37.85,52.0,5.6431,341300.0,1,0,0,0,0,5.817352,0.935287,0.184458
-122.25,37.85,52.0,3.8462,342200.0,1,0,0,0,0,6.281853,0.779998,0.172096
-122.25,37.85,52.0,4.0368,269700.0,1,0,0,0,0,4.761658,0.760757,0.231774
-122.25,37.84,52.0,3.6591,299200.0,1,0,0,0,0,4.931907,0.755373,0.192899
-122.25,37.84,52.0,3.12,241400.0,1,0,0,0,0,4.797527,0.581239,0.221327
-122.26,37.84,42.0,2.0804,226700.0,1,0,0,0,0,4.294118,0.706503,0.260274
-122.25,37.84,52.0,3.6912,261100.0,1,0,0,0,0,4.970588,0.775772,0.199211
-122.26,37.85,52.0,3.2031,281500.0,1,0,0,0,0,5.477612,0.816993,0.197094
-122.26,37.85,52.0,3.2705,241800.0,1,0,0,0,0,4.772480,0.717374,0.214673
-122.26,37.85,52.0,3.075,213500.0,1,0,0,0,0,5.322650,0.852777,0.190285
-122.26,37.84,52.0,2.6736,191300.0,1,0,0,0,0,4.000000,0.684489,0.274425
-122.26,37.85,52.0,1.9167,159200.0,1,0,0,0,0,4.262903,0.670308,0.236852
-122.26,37.85,50.0,2.125,140000.0,1,0,0,0,0,4.242424,0.970836,0.252679
-122.27,37.85,52.0,2.775,152500.0,1,0,0,0,0,5.939577,0.873705,0.176501
-122.27,37.85,52.0,2.1202,155500.0,1,0,0,0,0,4.052805,0.760158,0.238599
-122.26,37.84,50.0,1.9911,158700.0,1,0,0,0,0,5.343675,0.859834,0.203216
-122.27,37.84,52.0,2.6033,162900.0,1,0,0,0,0,5.465455,0.919921,0.198270
-122.27,37.85,40.0,1.3578,147500.0,1,0,0,0,0,4.524096,0.901727,0.245007
-122.27,37.85,42.0,1.7135,159800.0,1,0,0,0,0,4.478142,0.931475,0.223917
-122.27,37.84,52.0,1.725,113900.0,1,0,0,0,0,5.096234,0.753033,0.222085
-122.27,37.84,52.0,2.1806,99700.0,1,0,0,0,0,5.193846,0.964934,0.199645
-122.27,37.84,52.0,2.6,132600.0,1,0,0,0,0,5.270142,0.868732,0.196493
-122.28,37.85,41.0,2.4038,107500.0,1,0,0,0,0,4.495798,0.979778,0.229907
-122.28,37.85,49.0,2.4597,93800.0,1,0,0,0,0,4.728033,0.932065,0.215929
-122.28,37.85,52.0,1.808,105500.0,1,0,0,0,0,4.780856,1.020946,0.221812
-122.28,37.84,50.0,1.6424,108900.0,1,0,0,0,0,4.401691,0.871762,0.236311
-122.28,37.84,52.0,1.6875,132000.0,1,0,0,0,0,4.703226,0.935461,0.219479
-122.28,37.84,49.0,1.9274,122300.0,1,0,0,0,0,5.068783,0.825521,0.233299
-122.28,37.84,52.0,1.9615,115200.0,1,0,0,0,0,4.882086,0.974003,0.223409
-122.27,37.84,48.0,1.7969,110400.0,1,0,0,0,0,5.737313,1.119293,0.212799
-122.27,37.83,49.0,1.375,104900.0,1,0,0,0,0,5.030395,0.829334,0.221148
-122.27,37.83,51.0,2.7303,109700.0,1,0,0,0,0,4.972015,0.853144,0.215385
-122.27,37.83,49.0,1.4861,97200.0,1,0,0,0,0,4.602273,0.769687,0.232099
-122.27,37.83,48.0,1.0972,104500.0,1,0,0,0,0,4.807487,0.970414,0.240267
-122.28,37.83,52.0,1.4103,103900.0,1,0,0,0,0,3.749380,0.804569,0.258107
-122.26,37.83,52.0,3.48,191400.0,1,0,0,0,0,4.757282,0.801900,0.224490
-122.26,37.83,52.0,2.5898,176000.0,1,0,0,0,0,3.494253,0.682313,0.293997
-122.26,37.83,52.0,2.0978,155400.0,1,0,0,0,0,4.215190,0.873357,0.251652
-122.26,37.83,51.0,1.2852,150000.0,1,0,0,0,0,3.759036,0.730590,0.332265
-122.26,37.84,49.0,1.025,118800.0,1,0,0,0,0,3.772487,0.893818,0.283310
-122.26,37.84,52.0,3.9643,188800.0,1,0,0,0,0,4.797980,0.858062,0.212632
-122.26,37.83,52.0,3.0125,184400.0,1,0,0,0,0,4.941781,0.815486,0.215523
-122.26,37.83,52.0,2.6768,182300.0,1,0,0,0,0,4.335079,0.631049,0.253623
-122.26,37.83,50.0,2.026,142500.0,1,0,0,0,0,3.700658,0.706219,0.286222
-122.27,37.82,43.0,1.7348,137500.0,1,0,0,0,0,3.980237,0.790970,0.309831
-122.26,37.82,40.0,0.9506,187500.0,1,0,0,0,0,3.900000,0.972198,0.312500
-122.27,37.82,40.0,1.775,112500.0,1,0,0,0,0,2.687500,0.687449,0.396406
-122.27,37.82,21.0,0.9218,171900.0,1,0,0,0,0,2.045662,0.517651,0.505580
-122.27,37.82,43.0,1.5045,93800.0,1,0,0,0,0,4.589681,0.958154,0.244111
-122.27,37.82,41.0,1.1108,97500.0,1,0,0,0,0,4.473611,1.000938,0.264825
-122.27,37.82,52.0,1.2475,104200.0,1,0,0,0,0,4.075000,1.066433,0.279755
-122.28,37.82,52.0,1.6098,87500.0,1,0,0,0,0,5.021459,1.101470,0.200855
-122.28,37.82,52.0,1.4113,83100.0,1,0,0,0,0,4.295455,0.962480,0.257143
-122.28,37.82,52.0,1.5057,87500.0,1,0,0,0,0,4.779923,0.876112,0.232633
-122.28,37.82,52.0,0.8172,85300.0,1,0,0,0,0,6.102459,1.093133,0.224983
-122.28,37.82,52.0,1.2171,80300.0,1,0,0,0,0,4.562500,1.262118,0.245854
